State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Alabama,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2007,1.5846290977518074,28.028127166485092,20.99633554521145,2.6740616024561747,4.456769337426958,0.49519659304743985,0.09903931860948796,92.49725174056431,NA,NA,NA,NA,NA,NA,15.901060070671377,35.55555555555556,12.5,74.91166077738515,31.25,6.25,NA,NA,NA,NA,NA,27,5,1,10916,10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,9814,283,16,28,2,212,5,0,1,0
Arizona,2007,1.4364763841259243,14.314183686888613,11.168098085035355,0.20232061748252456,2.9538810152448587,1.3960122606294194,1.0925313344056327,94.58169084159364,NA,NA,NA,NA,NA,NA,20.636042402826853,48.63013698630137,58.45070422535211,78.02120141342756,97.1830985915493,76.05633802816901,NA,NA,NA,NA,NA,20,138,108,104516,98853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,97438,1415,142,149,83,1104,83,55,60,48
Arkansas,2007,0.8960802887938759,26.75439719398858,15.310171791392508,7.194244604316547,4.275583092245065,0.4608412913797076,0.25602293965539313,97.21973317403425,NA,NA,NA,NA,NA,NA,15.98086124401914,20.958083832335326,28.57142857142857,57.224880382775126,51.42857142857142,28.57142857142857,NA,NA,NA,NA,NA,281,18,10,40176,39059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,38014,1045,35,131,10,598,18,0,10,0
California,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2007,1.5434304170120332,2.45805584931546,0.1572012461771515,0,2.3151456255180496,1.186154857518507,1.0575356561008373,98.23807718766233,NA,NA,NA,NA,NA,NA,94.18604651162791,66.66666666666666,80.55555555555556,6.395348837209303,76.85185185185185,68.51851851851852,NA,NA,NA,NA,NA,0,83,74,71229,69974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,69802,172,108,53,87,11,53,30,44,30
Connecticut,2007,1.575555025065648,8.307471950346144,1.121986154213416,0.286464550011936,6.922893291955121,1.241346383385056,0.95488183337312,99.51300629528448,NA,NA,NA,NA,NA,NA,83.33333333333334,22.758620689655174,57.57575757575758,13.505747126436782,78.78787878787878,60.60606060606061,NA,NA,NA,NA,NA,12,52,40,42095,41890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,41542,348,66,223,38,47,52,0,40,0
Delaware,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2007,0.789351560704171,28.49038682563571,5.061391600778943,4.449860996057579,18.983471325286573,0.4814177100997966,0.3166080435791455,96.4239712278354,NA,NA,NA,NA,NA,NA,66.63114629319531,4.15809915467215,51.098901098901095,17.765261074745016,60.98901098901099,40.10989010989011,NA,NA,NA,NA,NA,1026,111,73,239120,230569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4376,224000,6569,182,4194,93,1167,111,0,73,0
Georgia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2007,3.6571792017808873,14.363703821487254,4.823236338580591,0.7420363597816293,8.851433720252292,3.0211480362537766,2.438119467853925,98.63550815558344,NA,NA,NA,NA,NA,NA,61.62361623616236,41.31736526946108,84.05797101449275,33.579335793357934,82.6086956521739,66.66666666666666,NA,NA,NA,NA,NA,14,57,46,19128,18867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,18596,271,69,97,58,91,57,0,46,0
Idaho,2007,1.1106839249861165,54.295356486821305,4.998077662437524,14.524328249818447,34.8156691870648,0.6834977999914562,0,93.54993406066419,NA,NA,NA,NA,NA,NA,64.12273800157357,3.190184049079755,57.692307692307686,9.205350118017309,61.53846153846154,0,NA,NA,NA,NA,NA,340,16,0,25023,23409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814,22138,1271,26,788,15,117,16,0,0,0
Illinois,2007,NA,NA,NA,NA,NA,0,0,99.22731733884007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,176269,174907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2007,1.5048737388132019,19.87117368751069,4.149803340363678,1.2768625662657471,14.455908339508637,1.1856580972467652,0,98.11192018164938,NA,NA,NA,NA,NA,NA,72.74813539873782,10.410094637223976,39.39393939393939,20.883534136546185,78.78787878787878,0,NA,NA,NA,NA,NA,112,104,0,89403,87715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267,85972,1743,132,1135,52,364,94,10,0,0
Iowa,2007,1.5013906323069728,28.526422013832484,16.638361761303504,7.1623717049398214,4.750301508774521,0,0,98.61407766990291,NA,NA,NA,NA,NA,NA,16.652286453839515,31.606217616580313,22.950819672131146,58.326143226919754,0,0,NA,NA,NA,NA,NA,291,0,0,41200,40629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,39470,1159,61,131,14,676,0,0,0,0
Kansas,2007,1.3332698442931288,22.451311842293222,18.04675967811057,0.6666349221465644,3.7617256321127566,0.04761678015332604,0.02380839007666302,97.79278230500582,NA,NA,NA,NA,NA,NA,16.755037115588546,35.44303797468354,67.85714285714286,80.38176033934252,3.571428571428571,1.7857142857142856,NA,NA,NA,NA,NA,28,2,1,42950,42002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,41059,943,56,101,38,758,2,0,1,0
Kentucky,2007,0.9024800846942849,36.6892865200715,21.572745101442234,0,15.133896804873393,0.1909092486853295,0.034710772488241726,99.02894266465007,NA,NA,NA,NA,NA,NA,41.248817407757805,5.963302752293578,21.153846153846153,58.798486281929996,21.153846153846153,3.8461538461538463,NA,NA,NA,NA,NA,0,11,2,58184,57619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871,55505,2114,52,819,11,1243,11,0,2,0
Louisiana,2007,0.7914147329766691,47.83310646110988,16.904618696381654,3.039032574630409,27.90528348475735,0.5539903130836683,0.42736395580740133,97.47735793745082,NA,NA,NA,NA,NA,NA,58.33884844473859,2.836074872376631,0,35.34083388484447,70,54,NA,NA,NA,NA,NA,192,35,27,64813,63178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762,60156,3022,50,1712,0,1068,0,35,0,27
Maine,2007,1.3967507167536573,25.72961846651474,14.629125928104095,1.911343086083952,9.262662647945307,0.44107917371168126,0.22053958685584063,97.3381037567084,NA,NA,NA,NA,NA,NA,36,15.079365079365079,36.84210526315789,56.85714285714286,31.57894736842105,15.789473684210526,NA,NA,NA,NA,NA,26,6,3,13975,13603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,13253,350,19,106,7,199,5,1,3,0
Maryland,2007,1.1047282368537341,15.217631462660185,12.580092797171895,0,2.6513477684489617,0,0,94.9394304892758,NA,NA,NA,NA,NA,NA,17.422867513611614,41.66666666666667,47.5,82.66787658802178,0,0,NA,NA,NA,NA,NA,0,0,0,76276,72416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,71314,1102,80,111,38,911,0,0,0,0
Massachusetts,2007,2.726267328515213,18.479462976775288,1.0287801239680048,1.5431701859520075,15.920372418404876,1.9546822355392093,1.1959568941128056,98.7780092474976,NA,NA,NA,NA,NA,NA,86.151704940849,17.12439418416801,87.73584905660378,5.567153792623522,71.69811320754717,43.86792452830189,NA,NA,NA,NA,NA,120,152,93,78724,77762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237,76325,1437,212,1025,186,80,152,0,93,0
Michigan,2007,1.104699093157461,15.968672712283594,10.032976092333058,0.9068425391591096,5.037098103874691,0.5523495465787305,0.20610057708161583,98.31494824889162,NA,NA,NA,NA,NA,NA,31.543624161073826,21.931260229132572,43.28358208955223,62.8291171915333,50,18.65671641791045,NA,NA,NA,NA,NA,110,67,25,123379,121300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,119363,1937,134,476,58,1217,67,0,25,0
Minnesota,2007,1.3299091993029442,16.203491393805983,13.176801491944113,0.39744412852731664,2.644532085970222,0.3821578158916506,0.32101256534898653,88.874699417175,NA,NA,NA,NA,NA,NA,16.32075471698113,50.28901734104046,34.48275862068966,81.32075471698114,28.735632183908045,24.137931034482758,NA,NA,NA,NA,NA,26,25,21,73607,65418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,64358,1060,87,85,30,862,25,0,21,0
Mississippi,2007,1.905615962336061,12.689160408026007,1.0312745207936331,1.748682883084856,9.931622015469118,1.905615962336061,1.0985315547584351,98.01357973148168,NA,NA,NA,NA,NA,NA,78.26855123674912,19.187358916478555,48.23529411764706,8.12720848056537,100,57.647058823529406,NA,NA,NA,NA,NA,78,85,49,45509,44605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,44039,566,85,357,41,46,85,0,49,0
Missouri,2007,1.6442081839535172,18.420076647298803,10.45864754605019,1.9038200024724934,6.0699715663246385,0.8282853257510199,0.5439485721349981,97.6661072407423,NA,NA,NA,NA,NA,NA,32.95302013422819,27.08757637474542,66.16541353383458,56.77852348993289,50.37593984962406,33.08270676691729,NA,NA,NA,NA,NA,154,67,44,82823,80890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,79400,1490,133,357,88,846,66,1,43,1
Montana,2007,0.9365687526607067,26.905065985525756,25.71306939123031,0,1.277139208173691,0.8514261387824607,0.7662835249042146,94.71010402386905,NA,NA,NA,NA,NA,NA,4.746835443037975,73.33333333333333,100,95.56962025316456,90.9090909090909,81.81818181818183,NA,NA,NA,NA,NA,0,10,9,12401,11745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11429,316,11,3,11,302,4,6,3,6
Nebraska,2007,1.859219871341985,8.366489421038933,4.239021306659725,0.8180567433904734,3.3465957684155727,1.487375897073588,1.2642695125125496,99.17029279445387,NA,NA,NA,NA,NA,NA,40,55.55555555555556,56.00000000000001,50.66666666666667,80,68,NA,NA,NA,NA,NA,22,40,34,27118,26893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,26668,225,50,39,28,114,40,0,34,0
Nevada,2007,NA,29.60458393557712,NA,29.60458393557712,NA,0,0,95.1870869469081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147,0,0,40703,38744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37597,1147,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2007,2.9199211621286225,20.22045404774071,8.248777283013357,1.4599605810643113,10.584714212716257,1.0949704357982335,0.8759763486385868,98.22888283378747,NA,NA,NA,NA,NA,NA,52.34657039711191,27.586206896551722,70,40.794223826714806,37.5,30,NA,NA,NA,NA,NA,20,15,12,13946,13699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,13422,277,40,104,28,113,15,0,12,0
New Jersey,2007,0.8413816560897236,16.818682253112666,13.095120881481547,0.9666938176350015,2.765818422677921,0.581806464317362,0.3401330099086116,98.96623201757494,NA,NA,NA,NA,NA,NA,16.444917509313463,30.42071197411003,52.12765957446809,77.8605641298563,69.14893617021278,40.42553191489361,NA,NA,NA,NA,NA,108,65,38,112888,111721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,109842,1879,94,214,49,1463,65,0,38,0
New Mexico,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2007,NA,12.957116022541065,NA,12.957116022541065,NA,0,0,98.93868577348613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3242,0,0,252894,250210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246968,3242,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2007,1.434008893906225,9.854997292164056,0.1983203789444779,5.987749902746737,3.6765547173553212,1.3119655837865463,0.5873334299509538,98.23979018358936,NA,NA,NA,NA,NA,NA,37.306501547987615,39.004149377593365,30.851063829787233,2.0123839009287927,91.48936170212765,40.95744680851064,NA,NA,NA,NA,NA,785,172,77,133450,131101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,129809,1292,188,293,58,26,172,0,77,0
North Dakota,2007,0.41584364279031083,48.86162802786152,39.50514606507953,8.212911945108639,1.2475309283709326,0,0,98.76784064072287,NA,NA,NA,NA,NA,NA,2.553191489361702,33.33333333333333,0,80.85106382978722,0,0,NA,NA,NA,NA,NA,79,0,0,9739,9619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9149,470,4,7,0,380,0,0,0,0
Ohio,2007,0.7596170383534943,35.809493779739725,8.857421315140744,7.889984521011294,19.06925414206272,0.5159662902023735,0.3654761222266812,92.197709989230475,NA,NA,NA,NA,NA,NA,53.25195117070242,3.983464862833521,53.77358490566038,24.734840904542725,67.9245283018868,48.113207547169814,NA,NA,NA,NA,NA,1101,72,51,151353,139544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2660,134547,4997,106,2554,57,1236,72,0,51,0
Oklahoma,2007,2.0285118611596324,20.99885426644879,15.514359234424598,3.455983170864559,2.0472943783925923,1.840686688830037,1.2020811029094118,99.00697350069734,NA,NA,NA,NA,NA,NA,9.749552772808586,99.08256880733946,44.44444444444444,73.8819320214669,90.74074074074075,59.25925925925925,NA,NA,NA,NA,NA,184,98,64,53775,53241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,52123,1118,108,0,48,826,89,9,64,0
Oregon,2007,1.5596937328670006,34.45505246242556,24.50609698459212,2.5994895547783345,7.373097646280367,0,0,98.2539240271199,NA,NA,NA,NA,NA,NA,21.39917695473251,21.153846153846153,45.45454545454545,71.12482853223594,0,0,NA,NA,NA,NA,NA,110,0,0,43068,42316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,40858,1458,66,245,30,1037,NA,NA,NA,NA
Pennsylvania,2007,1.0726624317396634,9.633065864259445,1.5323749024852333,1.2537612838515546,6.853895018388498,1.0726624317396634,0.703499387050039,95.71136192425384,NA,NA,NA,NA,NA,NA,71.14967462039046,15.650406504065039,48.701298701298704,15.907447577729572,100,65.5844155844156,NA,NA,NA,NA,NA,180,154,101,150001,143568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,983,142185,1383,154,829,75,220,119,35,86,15
Rhode Island,2007,1.0668292311209329,15.469023851253525,1.2954354949325613,0.5334146155604664,13.716375828697707,0.8382229673093042,0.5334146155604664,98.63950691521347,NA,NA,NA,NA,NA,NA,88.66995073891626,7.777777777777778,64.28571428571429,8.374384236453201,78.57142857142857,50,NA,NA,NA,NA,NA,7,11,7,13304,13123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,12920,203,14,165,9,17,10,1,7,0
South Carolina,2007,1.3422125858241702,37.289418890781754,8.621134685870631,11.632509077142808,17.052982981432724,0.8087691222273845,0.4646120489391358,96.52199910309433,NA,NA,NA,NA,NA,NA,45.73142593447162,7.870837537840565,55.12820512820513,23.119520073834796,60.256410256410255,34.61538461538461,NA,NA,NA,NA,NA,676,47,27,60207,58113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,55946,2167,78,912,43,501,47,0,27,0
South Dakota,2007,0.6339144215530903,27.57527733755943,24.32646592709984,1.9017432646592711,1.4263074484944533,0,0,98.47834568864612,NA,NA,NA,NA,NA,NA,5.172413793103448,44.44444444444444,62.5,88.2183908045977,0,0,NA,NA,NA,NA,NA,24,0,0,12815,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12272,348,8,9,5,307,0,0,0,0
Tennessee,2007,0.6102230305350819,43.038671388915475,13.233464152388244,0.8495261797645257,28.967646214224178,0.3828850387671102,0.28716377907533264,91.0205726358894,NA,NA,NA,NA,NA,NA,67.30608840700583,2.1065675340768277,56.86274509803921,30.747845426744508,62.745098039215684,47.05882352941176,NA,NA,NA,NA,NA,71,32,24,91821,83576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2420,79979,3597,51,2369,29,1106,29,3,24,0
Texas,2007,0.6568144499178982,16.782922824302137,14.707389162561576,0.4019704433497537,1.676190476190476,0.2049261083743842,0.08144499178981938,98.4173074834646,NA,NA,NA,NA,NA,NA,9.987476518472135,39.18495297805642,42.8,87.63306199123356,31.2,12.4,NA,NA,NA,NA,NA,153,78,31,386746,380625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637,374237,6388,250,387,107,5598,63,15,20,11
Utah,2007,1.2156841398581097,14.64264329649992,9.126703318636256,2.3043565039101486,3.229728013354381,0.8890824306424981,0.4536134850216827,97.85688920454545,NA,NA,NA,NA,NA,NA,22.057001239157373,37.640449438202246,50.74626865671642,62.32961586121437,73.13432835820896,37.3134328358209,NA,NA,NA,NA,NA,127,49,25,56320,55113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,54306,807,67,110,34,503,49,0,25,0
Vermont,2007,1.9733596447952642,8.057885216247328,5.097845749054431,0.9866798223976321,2.1378062818615358,1.808913007728992,0.657786548265088,97.92270531400966,NA,NA,NA,NA,NA,NA,26.53061224489796,92.3076923076923,33.33333333333333,63.26530612244898,91.66666666666666,33.33333333333333,NA,NA,NA,NA,NA,6,11,4,6210,6081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6032,49,12,0,4,31,11,0,4,0
Virginia,2007,1.1630765739357376,20.670612931898557,3.924201448644969,2.5625508255006904,14.193316564858067,0.8983111749910169,0.7281048470979821,96.22222626608192,NA,NA,NA,NA,NA,NA,68.66422689844465,8.194536975349767,45.52845528455284,18.98444647758463,77.23577235772358,62.601626016260155,NA,NA,NA,NA,NA,271,95,77,109906,105754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,103568,2186,123,1377,56,415,42,53,30,47
Washington,2007,1.5352560587783748,26.367413580923834,18.65457957134676,2.5222063822787586,5.202812199193382,0,0,95.57920970803686,NA,NA,NA,NA,NA,NA,19.731977818853974,29.508196721311474,54.761904761904766,70.74861367837339,0,0,NA,NA,NA,NA,NA,207,0,0,85867,82071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,79907,2164,126,300,69,1531,0,0,0,0
West Virginia,2007,0.3982675362174541,3.2857071737939965,0.14935032608154528,0.04978344202718176,3.136356847712451,0.3982675362174541,0.2489172101359088,91.65031710544326,NA,NA,NA,NA,NA,NA,95.45454545454545,12.698412698412698,37.5,4.545454545454546,100,62.5,NA,NA,NA,NA,NA,1,8,5,21917,20087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,20021,66,8,54,3,3,8,0,5,0
Wisconsin,2007,1.4192327541716843,15.382189345719365,9.232180744308733,1.7919605481965708,4.372383737599633,0.5160846378806124,0.35839210963931417,97.70158410017228,NA,NA,NA,NA,NA,NA,28.424976700838773,32.459016393442624,42.42424242424242,60.01863932898416,36.36363636363637,25.252525252525253,NA,NA,NA,NA,NA,125,36,25,71397,69756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,68683,1073,99,205,42,644,36,0,25,0
Wyoming,2007,2.6477146042363433,5.992196209587514,1.5328874024526198,0.9754738015607581,3.6231884057971016,1.3935340022296545,0.9754738015607581,98.76135425268373,NA,NA,NA,NA,NA,NA,60.46511627906976,73.07692307692307,89.47368421052632,25.581395348837212,52.63157894736842,36.84210526315789,NA,NA,NA,NA,NA,7,10,7,7266,7176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7133,43,19,6,17,11,10,0,7,0
US,2007,1.0252274704768862,19.52983606224177,8.402680655990153,3.4466174816527624,7.680836824736019,0.6115496806401485,0.37153287049643424,96.99356391151828,NA,NA,NA,NA,NA,NA,39.32873169163899,13.347861618087714,51.22448979591837,43.02483968227245,59.650145772594755,36.23906705539358,NA,NA,NA,NA,NA,11531,2046,1243,3449300,3345599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25696,3105353,65339,3430,22266,1757,28112,1792,254,1058,185
State average,2007,1.3887858982894956,21.912057794978836,10.838043600671986,3.4624542717751083,8.525632343183528,0.7534181197373617,0.470681940831757,96.91083002989929,NA,NA,NA,NA,NA,NA,42.23720656073307,31.14839198882318,49.590488728232835,47.034703953537914,55.668022198734974,34.18256799205425,NA,NA,NA,NA,NA,261.59090909090907,45.266666666666666,27.444444444444443,76542.82222222222,74250.17777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.452380952381,70480.88636363637,1481.6363636363637,81.45238095238095,530,41.69047619047619,666.6904761904761,43.48780487804878,6.195121951219512,25.609756097560975,4.512195121951219
State median,2007,1.3377412150586494,19.17531833214299,9.632578418320897,1.6459265345184317,4.893699806324606,0.5539903130836683,0.3401330099086116,97.92270531400966,NA,NA,NA,NA,NA,NA,36.653250773993804,28.547201808931597,49.72378367900756,56.81783317353788,62.14177978883861,35.72874493927125,NA,NA,NA,NA,NA,109,32,21,58184,57619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,54905.5,1132.5,68,185,38,458,36,0,21,0
State SD,2007,0.6738053511072262,12.245607515044172,8.683474593100035,5.36246281914048,8.101504217533686,0.673438654659495,0.5016579333322908,2.5033452219787913,NA,NA,NA,NA,NA,NA,27.75511552856592,23.771542785335633,21.664312282100077,29.07367117880678,32.57964079426049,25.4185880281143,NA,NA,NA,NA,NA,545.9415727398546,48.010604889109466,31.050951936480406,74431.42566339743,72856.05985038048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864.61397568245,70780.5034278396,1516.3695489159272,59.65437132836992,842.085882880328,36.42398572854264,908.4253996539029,43.47535045932322,14.198977977648818,26.711306640428962,11.927116062191045
Alabama,2008,NA,82.92997741206841,NA,82.92997741206841,NA,0,0,87.91073708098908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4626,0,0,63453,55782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51156,4626,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2008,1.7740429505135387,20.915032679738562,14.37908496732026,2.2408963585434174,4.388422035480859,0.5602240896358543,0.09337068160597571,94.82071713147411,NA,NA,NA,NA,NA,NA,20.982142857142858,40.42553191489361,36.84210526315789,68.75,31.57894736842105,5.263157894736842,NA,NA,NA,NA,NA,24,6,1,11295,10710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,10486,224,19,27,7,154,6,0,1,0
Arizona,2008,1.409788838150112,11.278310705200896,8.274847528272396,0.010215861146015304,3.0034631769284994,1.2871985043979282,0.9296433642873927,97.8009351770442,NA,NA,NA,NA,NA,NA,26.6304347826087,46.93877551020408,51.449275362318836,73.36956521739131,91.30434782608695,65.94202898550725,NA,NA,NA,NA,NA,1,126,91,100088,97887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,96783,1104,138,155,71,810,79,47,53,38
Arkansas,2008,0.856297680211739,23.171934194820697,14.505163734495822,6.331413150656495,2.36130572422025,0.5708651201411593,0.5708651201411593,97.5102474571125,NA,NA,NA,NA,NA,NA,10.19036954087346,36.26373626373626,42.42424242424242,62.597984322508395,66.66666666666666,66.66666666666666,NA,NA,NA,NA,NA,244,22,22,39522,38538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,37645,893,33,57,14,559,22,0,22,0
California,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2008,1.6551094369774277,12.741489027765889,10.344433981108923,0,2.4113232314584936,0.8560910880917729,0.727677424878007,99.37188957733699,NA,NA,NA,NA,NA,NA,18.924972004479283,68.63905325443787,81.89655172413794,81.18701007838746,51.724137931034484,43.96551724137931,NA,NA,NA,NA,NA,0,60,51,70529,70086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,69193,893,116,52,95,725,60,0,51,0
Connecticut,2008,1.5963455965420696,11.493688295102903,2.1366471830640013,0.4420649344270347,8.939535340635592,1.1788398251387593,0.7613340537354487,99.48204251160519,NA,NA,NA,NA,NA,NA,77.77777777777779,17.857142857142858,53.84615384615385,18.58974358974359,73.84615384615385,47.69230769230769,NA,NA,NA,NA,NA,18,48,31,40930,40718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,40250,468,65,298,35,87,48,0,31,0
Delaware,2008,2.218876297646406,21.079324827640857,3.4075600285284096,2.060385133528806,15.690625247642444,0,0,98.67844854551142,NA,NA,NA,NA,NA,NA,74.43609022556392,14.14141414141414,21.428571428571427,16.165413533834585,0,0,NA,NA,NA,NA,NA,26,0,0,12788,12619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,12353,266,28,169,6,43,NA,NA,NA,NA
District of Columbia,2008,1.1778563015312131,4.318806438947782,0,0,4.41696113074205,0.9815469179426777,0.2944640753828033,70.26206896551724,NA,NA,NA,NA,NA,NA,102.27272727272727,26.666666666666668,33.33333333333333,0,83.33333333333334,25,NA,NA,NA,NA,NA,0,10,3,14500,10188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,10144,44,12,32,4,0,10,0,3,0
Florida,2008,0.9845603043186395,19.13179682255538,8.704408144998881,0.993510852539718,9.43835309912732,0.778697695233833,0,96.5572970006525,NA,NA,NA,NA,NA,NA,49.333333333333336,10.431484115694643,51.81818181818182,45.49707602339181,79.0909090909091,0,NA,NA,NA,NA,NA,222,174,0,231417,223450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2108,219175,4275,220,1888,114,1945,174,0,0,0
